CountryId	Id	Position	Region	Name	Strength	TotalInvestment	Gold	Objective	DeployPolicy	QuarterActionDone	Towns	Memo	
0	0	{"x":-10,"y":-6}	"西シルヴァニア"	"ベアクロー"	20.0	1800.0	150.0	{}	0	false	[{"P":{"x":-10,"y":-6},"G":60.0},{"P":{"x":-10,"y":-5},"G":15.0}]	"レオナルド"	
0	1	{"x":-10,"y":-10}	"西シルヴァニア"	"ディアホーン"	20.0	1800.0	150.0	{}	0	false	[{"P":{"x":-10,"y":-10},"G":60.0},{"P":{"x":-11,"y":-9},"G":15.0}]	"レオナルド"	
1	2	{"x":0,"y":-4}	"中央シルヴァニア"	"オールドポイント"	30.0	1800.0	150.0	{}	0	false	[{"P":{"x":0,"y":-4},"G":45.0},{"P":{"x":1,"y":-4},"G":15.0}]	"セレスティア"	
1	3	{"x":-4,"y":-5}	"中央シルヴァニア"	"エルムハート"	50.0	2500.0	150.0	{}	0	false	[{"P":{"x":-4,"y":-5},"G":60.0},{"P":{"x":-3,"y":-5},"G":30.0}]	"セレスティア"	
1	4	{"x":-6,"y":-9}	"中央シルヴァニア"	"スカイリーチ"	20.0	2000.0	150.0	{}	0	false	[{"P":{"x":-6,"y":-9},"G":60.0},{"P":{"x":-6,"y":-8},"G":15.0}]	"セレスティア"	
2	5	{"x":2,"y":-7}	"東シルヴァニア"	"シダーウッド"	10.0	1000.0	150.0	{}	0	false	[{"P":{"x":2,"y":-7},"G":30.0},{"P":{"x":3,"y":-6},"G":15.0}]	"ナオミ"	
2	6	{"x":-1,"y":-9}	"東シルヴァニア"	"オークウッド"	10.0	1000.0	150.0	{}	0	false	[{"P":{"x":-1,"y":-9},"G":30.0},{"P":{"x":0,"y":-8},"G":15.0}]	"ナオミ"	
2	7	{"x":2,"y":-11}	"東シルヴァニア"	"ファーウッド"	10.0	1000.0	150.0	{}	0	false	[{"P":{"x":2,"y":-11},"G":30.0},{"P":{"x":2,"y":-10},"G":15.0}]	"ナオミ"	
3	8	{"x":11,"y":-11}	"モンタニア"	"アイスクラウン"	0.0	800.0	150.0	{}	0	false	[{"P":{"x":11,"y":-11},"G":45.0}]	"エルシア"	
4	9	{"x":9,"y":-3}	"ドラコニア"	"アイアンバレー"	10.0	1800.0	150.0	{}	0	false	[{"P":{"x":9,"y":-3},"G":60.0},{"P":{"x":8,"y":-3},"G":15.0}]	"ドラゴミール"	
4	10	{"x":8,"y":-8}	"モンタニア"	"コールドヘイヴン"	10.0	1000.0	150.0	{}	0	false	[{"P":{"x":8,"y":-8},"G":30.0},{"P":{"x":8,"y":-9},"G":15.0}]	"ドラゴミール"	
5	11	{"x":-8,"y":-3}	"西シルヴァニア"	"ソーンガーデン"	20.0	1500.0	150.0	{}	0	false	[{"P":{"x":-8,"y":-3},"G":60.0},{"P":{"x":-8,"y":-2},"G":15.0}]	"マーガレット"	
6	13	{"x":6,"y":1}	"ドラコニア"	"ハートランド"	50.0	3000.0	150.0	{}	0	false	[{"P":{"x":6,"y":1},"G":100.0},{"P":{"x":7,"y":2},"G":30.0}]	"フレデリック"	
6	14	{"x":3,"y":0}	"ドラコニア"	"グリーンヒル"	20.0	2000.0	150.0	{}	0	false	[{"P":{"x":3,"y":0},"G":60.0},{"P":{"x":2,"y":0},"G":15.0}]	"フレデリック"	
6	15	{"x":5,"y":-3}	"ドラコニア"	"ノースゲート"	20.0	2000.0	150.0	{}	0	false	[{"P":{"x":5,"y":-3},"G":60.0},{"P":{"x":6,"y":-2},"G":15.0}]	"フレデリック"	
