a	b	relation	memo	
0	1	030.000	レオナルド - セレスティア	
0	2	050.000	レオナルド - ナオミ	
0	3	050.000	レオナルド - エルシア	
0	4	050.000	レオナルド - ドラゴミール	
0	5	050.000	レオナルド - マーガレット	
0	6	050.000	レオナルド - フレデリック	
0	7	050.000	レオナルド - ザンダー	
0	8	050.000	レオナルド - ウィリアム	
0	9	050.000	レオナルド - ザフィール	
0	10	050.000	レオナルド - ナディア	
0	11	050.000	レオナルド - カリオペ	
0	12	050.000	レオナルド - フリージア	
0	13	050.000	レオナルド - セレスト	
0	14	050.000	レオナルド - ケルベロス	
0	15	050.000	レオナルド - イリス	
0	16	050.000	レオナルド - アトラス	
1	2	080.000	セレスティア - ナオミ	
1	3	050.000	セレスティア - エルシア	
1	4	050.000	セレスティア - ドラゴミール	
1	5	020.000	セレスティア - マーガレット	
1	6	050.000	セレスティア - フレデリック	
1	7	050.000	セレスティア - ザンダー	
1	8	060.000	セレスティア - ウィリアム	
1	9	050.000	セレスティア - ザフィール	
1	10	050.000	セレスティア - ナディア	
1	11	050.000	セレスティア - カリオペ	
1	12	050.000	セレスティア - フリージア	
1	13	050.000	セレスティア - セレスト	
1	14	050.000	セレスティア - ケルベロス	
1	15	050.000	セレスティア - イリス	
1	16	050.000	セレスティア - アトラス	
2	3	050.000	ナオミ - エルシア	
2	4	050.000	ナオミ - ドラゴミール	
2	5	050.000	ナオミ - マーガレット	
2	6	050.000	ナオミ - フレデリック	
2	7	050.000	ナオミ - ザンダー	
2	8	050.000	ナオミ - ウィリアム	
2	9	050.000	ナオミ - ザフィール	
2	10	050.000	ナオミ - ナディア	
2	11	050.000	ナオミ - カリオペ	
2	12	050.000	ナオミ - フリージア	
2	13	050.000	ナオミ - セレスト	
2	14	050.000	ナオミ - ケルベロス	
2	15	050.000	ナオミ - イリス	
2	16	050.000	ナオミ - アトラス	
3	4	000.000	エルシア - ドラゴミール	
3	5	050.000	エルシア - マーガレット	
3	6	050.000	エルシア - フレデリック	
3	7	050.000	エルシア - ザンダー	
3	8	050.000	エルシア - ウィリアム	
3	9	050.000	エルシア - ザフィール	
3	10	050.000	エルシア - ナディア	
3	11	050.000	エルシア - カリオペ	
3	12	050.000	エルシア - フリージア	
3	13	050.000	エルシア - セレスト	
3	14	050.000	エルシア - ケルベロス	
3	15	050.000	エルシア - イリス	
3	16	050.000	エルシア - アトラス	
4	5	050.000	ドラゴミール - マーガレット	
4	6	000.000	ドラゴミール - フレデリック	
4	7	050.000	ドラゴミール - ザンダー	
4	8	050.000	ドラゴミール - ウィリアム	
4	9	020.000	ドラゴミール - ザフィール	
4	10	050.000	ドラゴミール - ナディア	
4	11	060.000	ドラゴミール - カリオペ	
4	12	050.000	ドラゴミール - フリージア	
4	13	050.000	ドラゴミール - セレスト	
4	14	050.000	ドラゴミール - ケルベロス	
4	15	050.000	ドラゴミール - イリス	
4	16	050.000	ドラゴミール - アトラス	
5	6	050.000	マーガレット - フレデリック	
5	7	050.000	マーガレット - ザンダー	
5	8	060.000	マーガレット - ウィリアム	
5	9	050.000	マーガレット - ザフィール	
5	10	050.000	マーガレット - ナディア	
5	11	050.000	マーガレット - カリオペ	
5	12	050.000	マーガレット - フリージア	
5	13	050.000	マーガレット - セレスト	
5	14	050.000	マーガレット - ケルベロス	
5	15	050.000	マーガレット - イリス	
5	16	050.000	マーガレット - アトラス	
6	7	050.000	フレデリック - ザンダー	
6	8	060.000	フレデリック - ウィリアム	
6	9	090.000	フレデリック - ザフィール	
6	10	050.000	フレデリック - ナディア	
6	11	040.000	フレデリック - カリオペ	
6	12	050.000	フレデリック - フリージア	
6	13	050.000	フレデリック - セレスト	
6	14	050.000	フレデリック - ケルベロス	
6	15	050.000	フレデリック - イリス	
6	16	050.000	フレデリック - アトラス	
7	8	060.000	ザンダー - ウィリアム	
7	9	050.000	ザンダー - ザフィール	
7	10	020.000	ザンダー - ナディア	
7	11	050.000	ザンダー - カリオペ	
7	12	050.000	ザンダー - フリージア	
7	13	080.000	ザンダー - セレスト	
7	14	050.000	ザンダー - ケルベロス	
7	15	050.000	ザンダー - イリス	
7	16	050.000	ザンダー - アトラス	
8	9	050.000	ウィリアム - ザフィール	
8	10	020.000	ウィリアム - ナディア	
8	11	060.000	ウィリアム - カリオペ	
8	12	050.000	ウィリアム - フリージア	
8	13	050.000	ウィリアム - セレスト	
8	14	050.000	ウィリアム - ケルベロス	
8	15	050.000	ウィリアム - イリス	
8	16	050.000	ウィリアム - アトラス	
9	10	050.000	ザフィール - ナディア	
9	11	040.000	ザフィール - カリオペ	
9	12	050.000	ザフィール - フリージア	
9	13	050.000	ザフィール - セレスト	
9	14	050.000	ザフィール - ケルベロス	
9	15	050.000	ザフィール - イリス	
9	16	050.000	ザフィール - アトラス	
10	11	050.000	ナディア - カリオペ	
10	12	050.000	ナディア - フリージア	
10	13	020.000	ナディア - セレスト	
10	14	050.000	ナディア - ケルベロス	
10	15	050.000	ナディア - イリス	
10	16	050.000	ナディア - アトラス	
11	12	030.000	カリオペ - フリージア	
11	13	050.000	カリオペ - セレスト	
11	14	050.000	カリオペ - ケルベロス	
11	15	050.000	カリオペ - イリス	
11	16	050.000	カリオペ - アトラス	
12	13	050.000	フリージア - セレスト	
12	14	050.000	フリージア - ケルベロス	
12	15	050.000	フリージア - イリス	
12	16	020.000	フリージア - アトラス	
13	14	050.000	セレスト - ケルベロス	
13	15	050.000	セレスト - イリス	
13	16	050.000	セレスト - アトラス	
14	15	050.000	ケルベロス - イリス	
14	16	050.000	ケルベロス - アトラス	
15	16	050.000	イリス - アトラス
