Key,Id,Japanese(ja),English(en)
"{0}が決戦に勝利しました。",,"{0}が決戦に勝利しました。","{0} won the decisive battle."
"(説明文なし: {0})",,"(説明文なし: {0})","(No description: {0})"
"次のフェイズに進みます。",,"次のフェイズに進みます。","Proceed to the next phase."
"マップをクリックして各国の情報を表示します。",,"マップをクリックして各国の情報を表示します。","Click on the map to display country information."
"システムメニューを表示します。",,"システムメニューを表示します。","Display the system menu."
"隣接国に侵攻します。",,"隣接国に侵攻します。","Invade the neighboring country."
"出撃命令が下りました。",,"出撃命令が下りました。","The sortie order has been issued."
"防衛命令が下りました。",,"防衛命令が下りました。","The defense order has been issued."
"隣接国と決戦を行います。",,"隣接国と決戦を行います。","Decisive battle with the neighboring country."
"{0}が{1}に決戦を仕掛けました。",,"{0}が{1}に決戦を仕掛けました。","{0} challenged {1} to a decisive battle."
"同僚に戦いを仕掛けます。",,"同僚に戦いを仕掛けます。","Challenge your colleague to a fight."
"{0}は勢力を去りました。",,"{0}は勢力を去りました。","{0} left the country."
"他国の将を挑発します。",,"他国の将を挑発します。","Provoke the general of another country."
"挑発に成功しました。",,"挑発に成功しました。","Provocation was successful."
"挑発は失敗しました。",,"挑発は失敗しました。","Provocation failed."
"{0}に挑発されました。",,"{0}に挑発されました。","You were provoked by {0}."
"配下を討伐します。",,"配下を討伐します。","Subdue the vassal."
"討伐成功！\n{0}は追放されました。",,"討伐成功！\n{0}は追放されました。","Subjugation successful!\n{0} has been expelled."
"討伐失敗！{0}はあなたを恨んでいるようです。",,"討伐失敗！{0}はあなたを恨んでいるようです。","Subjugation failed! {0} seems to hate you."
"自勢力から独立します。",,"自勢力から独立します。","Independence from your own country."
"本当に独立しますか？",,"本当に独立しますか？","Do you really want to be independent?"
"独立しました。",,"独立しました。","You are independent."
"{0}が{1}から独立しました。",,"{0}が{1}から独立しました。","{0} has become independent from {1}."
"既存勢力に仕官します。",,"既存勢力に仕官します。","Join an existing country."
"拒否されました。",,"拒否されました。","You were rejected."
"{0}に仕官しました。",,"{0}に仕官しました。","You joined {0}'s country."
"兵士を雇います。",,"兵士を雇います。","Hire soldiers."
"反乱を起こします。",,"反乱を起こします。","Rebel against the country."
